name,lon,lat,geometry
"Pharmacie Chefchaouni صيدلية الشفشاوني, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5336693,32.2552809,POINT (-8.5336693 32.2552809)
"Pharmacie Ahmar صيدلية أحمر, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5354636,32.2418627,POINT (-8.5354636 32.2418627)
"Pharmacie Al Ouma صيدلية الأمة, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46302, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5341124,32.2458394,POINT (-8.5341124 32.2458394)
"Pharmacie Inas صيدلية ايناس, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5403043,32.2427264,POINT (-8.5403043 32.2427264)
"Pharmacie Minicipalité صيدلية البلدية, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46302, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5345939,32.2446437,POINT (-8.5345939 32.2446437)
"Pharmacie Zaid صيدلية زيد, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5234343,32.2484544,POINT (-8.5234343 32.2484544)
"Pharmacie Orphelinat صيدلية الخيرية, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5317972,32.2446004,POINT (-8.5317972 32.2446004)
"Pharmacie Zaytouna صيدلية زيتونة, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.539346,32.2491676,POINT (-8.539346 32.2491676)
"Pharmacie Al Qods صيدلية القدس, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5358955,32.2538836,POINT (-8.5358955 32.2538836)
"Pharmacie Annour صيدلية النور, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5326451,32.237092,POINT (-8.5326451 32.237092)
