name,lon,lat,geometry
"Hay Ouali Mokhtar, Youssoufia ⵢⵓⵙⵓⴼⵉⵢⴰ يوسوفية, Daïra Bordj El Emir Abdelkader, Tissemsilt, Algérie",2.1103831,35.9484859,POINT (2.1103831 35.9484859)
"Hay Sâada, El Youssoufia ⵍⵢⵓⵙⵓⴼⵉⵢⴰ اليوسفية, El Youssoufia اليوسفية, باشوية الرباط, عمالة الرباط, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, 10180, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-6.8252108,33.9869881,POINT (-6.8252108 33.9869881)
"Rue Youssoufia, Hay Tissir, Mers Sultan ⵎⴰⵔⵙ ⵙⵓⵍⵟⴰⵏ مرس السلطان, arrondissement de Mers Sultan مقاطعة مرس السلطان, préfecture d’arrondissements Al Fida-Mers Sultan عمالة مقاطعات الفداء مرس السلطان, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20552, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-7.5903201,33.5750029,POINT (-7.5903201 33.5750029)
"Rue Youssoufia, Hay Sidi Abdelkarim, Settat ⵥⵟⵟⴰⵟ سطات, Pachalik de Settat باشوية سطات, Province de Settat إقليم سطات, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 26003, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-7.6096755,32.9980786,POINT (-7.6096755 32.9980786)
"Avenue Youssoufia, Hay Mohammedi ⵃⵉ ⵎⵓⵃⵎⴰⴷⵉ الحي المحمدي, Ait El Mouden ⴰⵢⵜ ⵍⵎⵓⴷⵏ أيت المودن, Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ باشوية أكادير, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, 80016, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-9.5602542,30.4390063,POINT (-9.5602542 30.4390063)
"Pharmacie Hay Essaada صيدلية حي السعادة, RN11, Echemmaia ⵛⵎⴰⵄⵉⵢⴰ الشماعية, Echemmaia الشماعية, Pachalik de Chemaia, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46050, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.6303306,32.0749202,POINT (-8.6303306 32.0749202)
"ISTA Hay Ennahda, Avenue Ahmed Reda Gadira, El Youssoufia ⵍⵢⵓⵙⵓⴼⵉⵢⴰ اليوسفية, Rabat ⵔⴱⴰⵟ الرباط, باشوية الرباط, عمالة الرباط, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, 10170, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-6.820422923913227,33.97524585,POINT (-6.820422923913227 33.97524585)
"Hay takadoum حي التقدم, Rue Zouawa, El Youssoufia ⵍⵢⵓⵙⵓⴼⵉⵢⴰ اليوسفية, Rabat ⵔⴱⴰⵟ الرباط, باشوية الرباط, عمالة الرباط, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, 10105, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-6.8206029,33.9790992,POINT (-6.8206029 33.9790992)
"Hay Ennahda, Rue Jdana, El Youssoufia ⵍⵢⵓⵙⵓⴼⵉⵢⴰ اليوسفية, Rabat ⵔⴱⴰⵟ الرباط, باشوية الرباط, عمالة الرباط, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, 10170, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-6.8217098,33.9740312,POINT (-6.8217098 33.9740312)
"ISTA Hay Ennahda, Avenue Ahmed Reda Gadira, El Youssoufia ⵍⵢⵓⵙⵓⴼⵉⵢⴰ اليوسفية, Rabat ⵔⴱⴰⵟ الرباط, باشوية الرباط, عمالة الرباط, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, 10170, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-6.8219031,33.9752571,POINT (-6.8219031 33.9752571)
