id,full_name,url,language,license,topics,owner_type,description,stars_count,forks,issues_count,year,created_at,updated_at,contributors,languages
661495514,Octoberfest7/TeamsPhisher,https://github.com/Octoberfest7/TeamsPhisher,Python,,[],User,Send phishing messages and attachments to Microsoft Teams users,232,22,1,2023,2023-07-03T02:19:47Z,2023-07-05T10:31:43Z,['Octoberfest7'],['Python']
661574735,aschmelyun/diode,https://github.com/aschmelyun/diode,JavaScript,MIT License,[],User,A WASM-powered local development environment for Laravel,119,1,3,2023,2023-07-03T07:22:22Z,2023-07-05T09:10:39Z,['aschmelyun'],['JavaScript']
661624504,technetiumd3v/technetium-AI,https://github.com/technetiumd3v/technetium-AI,Python,,"['ai', 'aimbot', 'call-of-duty-aimbot', 'callofduty', 'csgo', 'csgo-aimbot', 'fortnite', 'fortnite-aimbot', 'fortnite-esp', 'gtav', 'gtav-aimbot', 'rust', 'rust-aimbot', 'skinchanger', 'valorant', 'valorant-aimbot', 'valorant-cheat', 'valorant-esp', 'warzone', 'warzone-aimbot']",User,"Technetium is a powerful and easily accessible AI wallhack for games like: CS:GO, Valorant, COD, Fortnite, GTA V and etc.",107,1,0,2023,2023-07-03T09:34:55Z,2023-07-05T10:40:11Z,['technetiumd3v'],"['Python', 'C++', 'Jupyter Notebook', 'CMake']"
661771291,cracksoftorg/BetterGo,https://github.com/cracksoftorg/BetterGo,Python,,"['cheat', 'csgo', 'csgo-cheat', 'csgo-hack', 'external', 'hack', 'pymem', 'python', 'script', 'wallhack']",User,External CS:GO cheat written in python.,50,0,0,2023,2023-07-03T15:54:01Z,2023-07-05T05:09:10Z,['cracksoftorg'],['Python']
661792195,m1guelpf/tinyvector,https://github.com/m1guelpf/tinyvector,Rust,MIT License,"['embeddings', 'embeddings-similarity', 'machine-learning', 'rust', 'search-engines', 'similarity-search', 'vector-database', 'vector-search']",User,A tiny embedding database in pure Rust.,48,2,0,2023,2023-07-03T16:53:18Z,2023-07-05T10:21:22Z,"['m1guelpf', 'C-Sinclair']","['Rust', 'Dockerfile']"
661746956,oldboy21/JayFinder,https://github.com/oldboy21/JayFinder,C#,,[],User,Find DLLs with RWX section,42,8,0,2023,2023-07-03T14:51:26Z,2023-07-05T09:02:35Z,['oldboy21'],['C#']
661662288,ReverseGG/valorant-aim-wh-misc,https://github.com/ReverseGG/valorant-aim-wh-misc,,,"['aimbot-valorant', 'cheat-valorant', 'hack-valorant', 'valorant', 'valorant-aimbot', 'valorant-cheat', 'valorant-cheat-download', 'valorant-cheats', 'valorant-esp', 'valorant-hack', 'valorant-hack-download', 'valorant-skinchanger', 'valorant-spoofer']",User,,37,0,0,2023,2023-07-03T11:19:09Z,2023-07-05T11:05:27Z,['ReverseGG'],[]
661641947,pap1rman/postnacos,https://github.com/pap1rman/postnacos,Java,,[],User,哥斯拉nacos后渗透插件 maketoken adduser,31,2,0,2023,2023-07-03T10:20:41Z,2023-07-05T09:27:24Z,['pap1rman'],['Java']
661547131,mmrobotlab/DailyRobot,https://github.com/mmrobotlab/DailyRobot,,,[],User,,31,1,0,2023,2023-07-03T05:57:38Z,2023-07-05T10:48:52Z,"['qiwang067', 'mmrobotlab']",[]
661539664,liufeng2317/TorchInversion,https://github.com/liufeng2317/TorchInversion,Python,,[],User,A pytorch based acoustic wave propagator for wave inversion/Image,27,1,0,2023,2023-07-03T05:29:26Z,2023-07-05T06:49:06Z,['liufeng2317'],['Python']
661882364,albionhack/albion,https://github.com/albionhack/albion,,,"['albion', 'albion-afk-bot', 'albion-cheat', 'albion-free-farm', 'albion-online', 'albion-online-bot-farming', 'albion-online-cheat', 'albion-online-ganking-hack', 'albion-online-gathering-hack', 'albion-online-hack-2022', 'albion-online-hacks', 'albion-online-pepi', 'albion-online-radar-hack', 'albion-radar-hack', 'hacks-albion-online', 'hacks-for-albion', 'hacks-in-albion-online', 'hms-albion-radar', 'how-to-play-albion-online']",User,𝙰𝙻𝙱𝙸𝙾𝙽 𝙾𝙽𝙻𝙸𝙽𝙴 𝙲𝚁𝙰𝙲𝙺 𝚁𝙰𝙳𝙰𝚁 𝙷𝙰𝙲𝙺 | 𝙵𝚁𝙴𝙴 𝟸𝟶𝟸𝟹,27,0,0,2023,2023-07-03T22:05:56Z,2023-07-04T15:10:25Z,['albionhack'],[]
661820314,AXECODEY/DEX-Front-Running-Bot-v4,https://github.com/AXECODEY/DEX-Front-Running-Bot-v4,,,"['blockchain', 'dapp', 'decentralized', 'smart-contracts', 'solidity-contracts']",User,"Maximize your profits with our 100% JavaScript bot that performs Front Running on DEX's. Open-source and easy to use, start earning today!",25,23,0,2023,2023-07-03T18:17:18Z,2023-07-04T22:49:30Z,['AXECODEY'],[]
661535511,zhongjinluo/SketchMetaFace,https://github.com/zhongjinluo/SketchMetaFace,Python,,[],User,This repository includes the prototype system of SketchMetaFace.,24,0,0,2023,2023-07-03T05:13:20Z,2023-07-05T09:40:25Z,['zhongjinluo'],"['Python', 'GLSL', 'Shell']"
661694797,onrirr/rustCord,https://github.com/onrirr/rustCord,,,"['betterdiscord', 'discord', 'pake', 'rust', 'tauri']",User,Tiny (5MiB) Discord client built with Pake/Tauri.,21,0,1,2023,2023-07-03T12:46:39Z,2023-07-04T15:22:36Z,['onrirr'],[]
661590341,luminexord/brc69,https://github.com/luminexord/brc69,,,[],User,,21,3,3,2023,2023-07-03T08:05:38Z,2023-07-05T01:31:02Z,['luminexord'],[]
661681558,ReverseGensh/genshin-amazing-cheat,https://github.com/ReverseGensh/genshin-amazing-cheat,,,"['genshin', 'genshin-cheat', 'genshin-cheats', 'genshin-hack', 'genshin-hack-pc', 'genshin-impack-cheat', 'genshin-impack-hack', 'genshin-impact', 'genshin-impact-cheats', 'genshin-impact-hack-pc', 'genshin-impact-mod']",User,,21,1,0,2023,2023-07-03T12:12:27Z,2023-07-04T15:10:22Z,['ReverseGensh'],[]
661739777,eskizi0n/DayZNoPixel,https://github.com/eskizi0n/DayZNoPixel,,,"['dayz', 'dayz-aim', 'dayz-aimbot', 'dayz-assist', 'dayz-cheat', 'dayz-cheats', 'dayz-esp', 'dayz-hack', 'dayz-hacks', 'dayz-wallhack']",User,,20,0,0,2023,2023-07-03T14:34:04Z,2023-07-03T17:46:30Z,['eskizi0n'],[]
661738956,eskizi0n/NoPixel-Tark0v,https://github.com/eskizi0n/NoPixel-Tark0v,,,"['eft-aim', 'eft-aimbot', 'eft-cheat', 'eft-hack', 'eft-spoofer', 'escape-from-tarkov-aim', 'escape-from-tarkov-aimbot', 'escape-from-tarkov-cheat', 'escape-from-tarkov-esp', 'escape-from-tarkov-hack', 'escape-from-tarkov-spoofer', 'escape-from-tarkov-wallhack']",User,,20,0,0,2023,2023-07-03T14:32:07Z,2023-07-03T17:46:27Z,['eskizi0n'],[]
661739342,eskizi0n/FortniteNoPixel,https://github.com/eskizi0n/FortniteNoPixel,,,"['fortnite', 'fortnite-aimbot', 'fortnite-cheat', 'fortnite-esp', 'fortnite-external', 'fortnite-hack', 'fortnite-spoofer', 'fortnite-wallhack']",User,,20,0,0,2023,2023-07-03T14:33:04Z,2023-07-03T22:35:30Z,['eskizi0n'],[]
661740007,eskizi0n/Gensh1nNoPixel,https://github.com/eskizi0n/Gensh1nNoPixel,,,"['genshin', 'genshin-cheat', 'genshin-hack', 'genshin-impact', 'genshin-impact-cheat', 'genshin-impact-cheats', 'genshin-impact-hack', 'genshin-impact-hacks', 'genshin-impact-script', 'genshin-impact-scripts', 'genshin-mod', 'genshin-mod-menu', 'genshin-script']",User,,20,1,0,2023,2023-07-03T14:34:35Z,2023-07-03T17:46:30Z,['eskizi0n'],[]
661737880,eskizi0n/NoPixelCh3ats,https://github.com/eskizi0n/NoPixelCh3ats,,,"['valorant', 'valorant-aim', 'valorant-aimbot', 'valorant-cheat', 'valorant-cheats', 'valorant-esp', 'valorant-hack', 'valorant-hacks', 'valorant-spoofer', 'valorant-wallhack', 'valorant-wh']",User,,20,0,0,2023,2023-07-03T14:29:17Z,2023-07-03T17:46:27Z,['eskizi0n'],[]
661739156,eskizi0n/RustNoPixel,https://github.com/eskizi0n/RustNoPixel,,,"['rust-aimbot', 'rust-cheat', 'rust-cheating', 'rust-cheatingingame', 'rust-cheats', 'rust-esp', 'rust-gamedev', 'rust-gamemap', 'rust-games', 'rust-hack', 'rust-hacking', 'rust-hacks', 'rust-hacks-community', 'rust-spoofer', 'rust-wallhack']",User,,20,0,0,2023,2023-07-03T14:32:38Z,2023-07-03T17:46:28Z,['eskizi0n'],[]
661473257,metlo-labs/csp-report-listener,https://github.com/metlo-labs/csp-report-listener,Rust,MIT License,[],Organization,,20,2,0,2023,2023-07-03T00:25:24Z,2023-07-04T22:07:18Z,['akshay288'],"['Rust', 'HTML', 'Dockerfile']"
661739556,eskizi0n/FiveM-NoPixel,https://github.com/eskizi0n/FiveM-NoPixel,,,"['fivem', 'fivem-aimbot', 'fivem-anticheat-bypass', 'fivem-cheat', 'fivem-dumper', 'fivem-esp', 'fivem-hack', 'fivem-hwid-spoofer', 'fivem-lua', 'fivem-lua-executor', 'fivem-money', 'fivem-money-cheat', 'fivem-money-hack', 'fivem-script', 'fivem-spoofer', 'fivem-wallhack']",User,,20,0,0,2023,2023-07-03T14:33:32Z,2023-07-03T17:46:29Z,['eskizi0n'],[]
661688795,ReverseFort/fortnite-amazing-cheat,https://github.com/ReverseFort/fortnite-amazing-cheat,,,"['fortnite', 'fortnite-aim', 'fortnite-aimbot', 'fortnite-cheat', 'fortnite-cheat-2023', 'fortnite-cheat-download', 'fortnite-cheats', 'fortnite-esp', 'fortnite-hack', 'fortnite-hack-download', 'fortnite-hack-pc', 'fortnite-wallhack', 'fortnite-wh']",User,,20,0,1,2023,2023-07-03T12:31:34Z,2023-07-04T15:10:22Z,['ReverseFort'],[]
661602316,PettterWang/URLFUZZ,https://github.com/PettterWang/URLFUZZ,C#,,[],User,URLFUZZ By T00ls.Net,19,2,0,2023,2023-07-03T08:36:59Z,2023-07-05T07:08:57Z,['PettterWang'],['C#']
661837908,RoboCupAtHome/Bordeaux2023,https://github.com/RoboCupAtHome/Bordeaux2023,,MIT License,[],Organization,"Repository for the 2023 RoboCup@Home in Bordeaux, France",18,2,0,2023,2023-07-03T19:12:23Z,2023-07-05T10:46:21Z,"['johaq', 'swachsmu', 'kyordhel']",[]
661888352,intotheewild/OSCP-Checklist,https://github.com/intotheewild/OSCP-Checklist,,,[],User,,18,4,0,2023,2023-07-03T22:36:19Z,2023-07-05T10:14:15Z,['intotheewild'],[]
661855926,PB2204/gitprofile,https://github.com/PB2204/gitprofile,JavaScript,,[],User,,17,0,1,2023,2023-07-03T20:15:26Z,2023-07-04T19:43:28Z,['PB2204'],"['JavaScript', 'CSS', 'HTML']"
661816765,urazakgul/python-elo-rating,https://github.com/urazakgul/python-elo-rating,,,[],User,,17,0,0,2023,2023-07-03T18:05:50Z,2023-07-04T14:13:01Z,['urazakgul'],[]
661550484,CocDap/Rust-Bootcamp-2023,https://github.com/CocDap/Rust-Bootcamp-2023,,,[],User,,16,64,1,2023,2023-07-03T06:09:10Z,2023-07-05T09:30:29Z,['CocDap'],[]
661631061,y11en/babysc,https://github.com/y11en/babysc,C,,[],User,自用的shellcode生成框架,15,4,0,2023,2023-07-03T09:51:51Z,2023-07-05T08:26:58Z,['y11en'],"['C', 'C++']"
661526514,zhongjinluo/Sketch2RaBit,https://github.com/zhongjinluo/Sketch2RaBit,Python,,[],User,A very simple sketch-based 3D modeling system built with the help of 3DBiCar and RaBit.,15,1,0,2023,2023-07-03T04:35:10Z,2023-07-05T09:41:07Z,['zhongjinluo'],"['Python', 'HTML', 'Cuda', 'GLSL', 'Shell', 'C++', 'CSS']"
661497330,vseridrop/xc,https://github.com/vseridrop/xc,HTML,,[],User,,14,2,0,2023,2023-07-03T02:27:32Z,2023-07-03T07:56:35Z,['vseridrop'],['HTML']
661829737,OtterHacker/Conferences,https://github.com/OtterHacker/Conferences,,,[],User,,14,1,0,2023,2023-07-03T18:46:07Z,2023-07-05T03:50:56Z,['OtterHacker'],[]
661545765,phlogosinuzneness/05,https://github.com/phlogosinuzneness/05,HTML,,[],User,,14,2,0,2023,2023-07-03T05:52:40Z,2023-07-03T07:57:42Z,['phlogosinuzneness'],['HTML']
