Company,Job Title,Job Type,Experience level,Company_requirement,Facilities,Salary (USD),Job Format,country,Domain
SGS,Clinical Data Analyst,Full Time,Entry-level,"Computer Science,Data quality,Genetics,Mathematics,SAS,Statistics",Not specified,48000.0,In location,United States,Data Analyst
Ocorian,AML/CFT & Data Analyst,Full Time,Entry-level,"Agile,Data management,Finance,Security",Not specified,48000.0,In location,Mauritius,Data Analyst
Cricut,Machine Learning Engineer,Full Time,Not specified,"Agile,Architecture,AWS,Computer Science,Computer Vision,Deep Learning",Career development,90000.0,In location,Jordan,Machine Learning
Bosch Group,Application Developer & Data Analyst,Full Time,Entry-level,"Engineering,Industrial,Oracle,Power BI,R,R&D",Not specified,48000.0,In location,Italy,Data Analyst
Publicis Groupe,Data Engineer Full time (Public Sector) USA,Full Time,Mid-level,"AWS,Azure,Computer Science,Consulting,Dataflow,Data pipelines","Flex hours,Flex vacation,Parental leave,Unlimited paid time off",108000.0,In location,United States,Data Engineer
ServiceNow,Sr Staff Data Scientist - ATG,Full Time,Senior-level,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",184000.0,In location,United States,Data Science
Natixis in Portugal,Vendor Management and Data Quality Lead,Full Time,Entry-level,"Banking,Data quality,Excel,Security",Gear,39000.0,In location,Portugal,"VENDOR MANAGEMENT AND DATA QUALITY LEAD BANKING,DATA QUALITY,EXCEL,SECURITY,,"
NielsenIQ,Intern (Business Intelligence Service Support),Internship,Entry-level,"Business Intelligence,Excel,Genetics",Not specified,0.0,In location,Thailand,Business Intelligence
Western Digital,Summer 2023 Data Engineering Intern,Internship,Entry-level,"Big Data,Computer Science,Engineering,Machine Learning,Mathematics,Matlab","Career development,Competitive pay,Equity,Flex vacation,Health care",0.0,In location,United States,Data Science
Palo Alto Networks,Principal Cloud Data Engineer (Prisma Access),Full Time,Senior-level,"Agile,APIs,AWS,Azure,Big Data,Computer Science","Career development,Medical leave,Salary bonus,Startup environment",140000.0,In location,United States,Big Data
CERN,Data Scientist (TE-CRG-GLO-2023-19-GRAP),Full Time,Entry-level,"Computer Science,Data analysis,Deep Learning,Keras,Machine Learning,PhD","Career development,Health care,Medical leave",40000.0,In location,Switzerland,Data Science
NielsenIQ,Data Analyst - Revenue Optimizer,Full Time,Not specified,"Business Analytics,Business Intelligence,Data management,Economics,Engineering,Genetics","Career development,Startup environment",80000.0,In location,Canada,Data Analyst
YouGov,Graduate Power BI Developer,Full Time,Entry-level,"Data Analytics,Excel,Finance,Market research,Power BI,Privacy",Career development,35000.0,In location,India,Data Analyst
Bosch Group,SAP Consultant - Product Data Management,Full Time,Senior-level,"Data management,Engineering,R,Spark",Flex hours,62000.0,In location,Portugal,Big Data
Bosch Group,PreMaster Programm - Data Analytics and Visualization,Full Time,Entry-level,"BigQuery,Data Analytics,LLMs,Pandas,Python",Team events,39000.0,In location,Germany,Data Analyst
ServiceNow,Staff Data Scientist - ATG,Full Time,Senior-level,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",159000.0,In location,United States,Data Science
PlayStation Global,Machine Learning Engineer,Full Time,Senior-level,"AWS,CUDA,Docker,Git,GitHub,GitLab","Career development,Competitive pay,Health care,Salary bonus",97000.0,In location,United States,Machine Learning
Canva,Senior Data Analyst - Sales,Full Time,Senior-level,"BigQuery,Excel,Finance,Python,R,Redshift","Flex hours,Flex vacation,Home office stipend,Parental leave,Startup environment",92000.0,In location,Australia,Data Analyst
Issuu,BI Analyst,Full Time,Not specified,"Business Analytics,Business Intelligence,Data warehouse,Looker,Python,R","Competitive pay,Equity,Health care,Insurance",48000.0,In location,Portugal,Business Intelligence
DeepL,"Data Scientist | Insights (f/m/d) - GER, UK, NL, PL",Full Time,Senior-level,"Agile,Data visualization,Economics,Machine Learning,Mathematics,Metabase",Career development,129000.0,Remote,Remote Worldwide,Data Science
Printify,Senior Data Analyst (Remote within EMEA),Full Time,Senior-level,"Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce","Career development,Equity,Fitness / gym,Home office stipend,Relocation support",92000.0,In location,Estonia,Data Analyst
Visa,Senior Data Engineer (Evergreen),Full Time,Senior-level,"Agile,Airflow,Clustering,Computer Science,Data governance,Data Mining","Career development,Flex hours",115000.0,In location,India,Data Engineer
Talan,Data Management Scrum Master,Full Time,Entry-level,"Agile,Azure,Big Data,Blockchain,Databricks,Data management",Not specified,39000.0,In location,Spain,Big Data
Bosch Group,Rotational Development Program - Artificial Intelligence and Machine Learning Trainee,Full Time,Entry-level,"Airflow,APIs,Architecture,Azure,Clustering,Computer Science","Career development,Team events",44000.0,In location,United States,Artificial Intelligence
EX2 Outcoding,Data Engineer Scientist,Full Time,Mid-level,"Computer Science,Data Mining,Engineering,Python,SQL,Statistics",Not specified,73000.0,Remote,Remote Worldwide,Data Engineer
CGG,Data Scientist (Elasticsearch),Full Time,Entry-level,"Agile,CI/CD,Computer Vision,Data quality,Data visualization,Deep Learning","Career development,Flex hours,Health care",40000.0,In location,United States,Data Science
RCA,Data Engineer F/H,Full Time,Entry-level,"Airflow,Architecture,AWS,Data warehouse,DevOps,ETL",Not specified,59000.0,In location,France,Data Engineer
